id;title;price;image;image_content_type
1;crow fair questionable;30023.2;../fake-data/blob/hipster.png;image/png
2;once;5661.64;../fake-data/blob/hipster.png;image/png
3;huzzah;19301.9;../fake-data/blob/hipster.png;image/png
4;if dead;8423.28;../fake-data/blob/hipster.png;image/png
5;although;29269.51;../fake-data/blob/hipster.png;image/png
6;yuck hardware yesterday;23641.17;../fake-data/blob/hipster.png;image/png
7;flaky disunite diagnosis;20630.47;../fake-data/blob/hipster.png;image/png
8;yesterday;2233.45;../fake-data/blob/hipster.png;image/png
9;as;21735.81;../fake-data/blob/hipster.png;image/png
10;rend dismal imaginary;599.19;../fake-data/blob/hipster.png;image/png
